Methods	Root	Root_Error	NNI_Error	Diamond	nTrees	h_0	h_1	h_2
InferNetwork_MPL	r1	0.3	0	d7	500	0	78	22
InferNetwork_MPL	r1	0.3	0	d7	1000	0	80	20
InferNetwork_MPL	r1	0.3	0	d7	5000	0	69	31
InferNetwork_MPL	r1	0.3	0	d8	100	0	75	25
InferNetwork_MPL	r1	0.3	0	d8	500	0	91	9
InferNetwork_MPL	r1	0.3	0	d8	1000	0	94	6
InferNetwork_MPL	r1	0.3	0	d8	5000	0	94	6
InferNetwork_MPL	r1	0.3	0	d9	100	0	57	43
InferNetwork_MPL	r1	0.3	0	d9	500	0	67	33
InferNetwork_MPL	r1	0.3	0	d9	1000	0	64	36
InferNetwork_MPL	r1	0.3	0	d9	5000	0	72	28
InferNetwork_MPL	r1	0.3	0.3	d1	100	0	71	29
InferNetwork_MPL	r1	0.3	0.3	d1	500	0	80	20
InferNetwork_MPL	r1	0.3	0.3	d1	1000	0	89	11
InferNetwork_MPL	r1	0.3	0.3	d1	5000	0	81	19
InferNetwork_MPL	r1	0.3	0.3	d2	100	0	63	37
InferNetwork_MPL	r1	0.3	0.3	d2	500	0	72	28
InferNetwork_MPL	r1	0.3	0.3	d2	1000	0	71	29
InferNetwork_MPL	r1	0.3	0.3	d2	5000	0	78	22
InferNetwork_MPL	r1	0.3	0.3	d3	100	0	67	33
InferNetwork_MPL	r1	0.3	0.3	d3	500	0	96	4
InferNetwork_MPL	r1	0.3	0.3	d3	1000	0	93	7
InferNetwork_MPL	r1	0.3	0.3	d3	5000	0	78	22
InferNetwork_MPL	r1	0.3	0.3	d4	100	0	67	33
InferNetwork_MPL	r1	0.3	0.3	d4	500	0	80	20
InferNetwork_MPL	r1	0.3	0.3	d4	1000	0	77	23
InferNetwork_MPL	r1	0.3	0.3	d4	5000	0	75	25
InferNetwork_MPL	r1	0.3	0.3	d5	100	0	70	30
InferNetwork_MPL	r1	0.3	0.3	d5	500	0	86	14
InferNetwork_MPL	r1	0.3	0.3	d5	1000	0	82	18
InferNetwork_MPL	r1	0.3	0.3	d5	5000	0	82	18
InferNetwork_MPL	r1	0.3	0.3	d6	100	0	66	34
InferNetwork_MPL	r1	0.3	0.3	d6	500	0	88	12
InferNetwork_MPL	r1	0.3	0.3	d6	1000	0	86	14
InferNetwork_MPL	r1	0.3	0.3	d6	5000	0	92	8
InferNetwork_MPL	r1	0.3	0.3	d7	100	0	56	44
InferNetwork_MPL	r1	0.3	0.3	d7	500	0	87	13
InferNetwork_MPL	r1	0.3	0.3	d7	1000	0	83	17
InferNetwork_MPL	r1	0.3	0.3	d7	5000	0	58	42
InferNetwork_MPL	r1	0.3	0.3	d8	100	0	62	38
InferNetwork_MPL	r1	0.3	0.3	d8	500	0	85	15
InferNetwork_MPL	r1	0.3	0.3	d8	1000	0	82	18
InferNetwork_MPL	r1	0.3	0.3	d8	5000	0	79	21
InferNetwork_MPL	r1	0.3	0.3	d9	100	0	55	45
InferNetwork_MPL	r1	0.3	0.3	d9	500	0	66	34
