Methods	Root	Root.Error	NNI.Error	Diamond	nTrees	Percent_Correct
InferNetwork_MPL	r2	0.3	0	d7	500	100
InferNetwork_MPL	r2	0.3	0	d7	1000	100
InferNetwork_MPL	r2	0.3	0	d7	5000	100
InferNetwork_MPL	r2	0.3	0	d8	100	100
InferNetwork_MPL	r2	0.3	0	d8	500	100
InferNetwork_MPL	r2	0.3	0	d8	1000	100
InferNetwork_MPL	r2	0.3	0	d8	5000	100
InferNetwork_MPL	r2	0.3	0	d9	100	100
InferNetwork_MPL	r2	0.3	0	d9	500	100
InferNetwork_MPL	r2	0.3	0	d9	1000	100
InferNetwork_MPL	r2	0.3	0	d9	5000	100
InferNetwork_MPL	r2	0.3	0.3	d1	100	91
InferNetwork_MPL	r2	0.3	0.3	d1	500	97
InferNetwork_MPL	r2	0.3	0.3	d1	1000	96
InferNetwork_MPL	r2	0.3	0.3	d1	5000	97
InferNetwork_MPL	r2	0.3	0.3	d2	100	95
InferNetwork_MPL	r2	0.3	0.3	d2	500	96
InferNetwork_MPL	r2	0.3	0.3	d2	1000	93
InferNetwork_MPL	r2	0.3	0.3	d2	5000	96
InferNetwork_MPL	r2	0.3	0.3	d3	100	95
InferNetwork_MPL	r2	0.3	0.3	d3	500	100
InferNetwork_MPL	r2	0.3	0.3	d3	1000	100
InferNetwork_MPL	r2	0.3	0.3	d3	5000	100
InferNetwork_MPL	r2	0.3	0.3	d4	100	94
InferNetwork_MPL	r2	0.3	0.3	d4	500	99
InferNetwork_MPL	r2	0.3	0.3	d4	1000	99
InferNetwork_MPL	r2	0.3	0.3	d4	5000	99
InferNetwork_MPL	r2	0.3	0.3	d5	100	100
InferNetwork_MPL	r2	0.3	0.3	d5	500	100
InferNetwork_MPL	r2	0.3	0.3	d5	1000	100
InferNetwork_MPL	r2	0.3	0.3	d5	5000	100
InferNetwork_MPL	r2	0.3	0.3	d6	100	96
InferNetwork_MPL	r2	0.3	0.3	d6	500	99
InferNetwork_MPL	r2	0.3	0.3	d6	1000	100
InferNetwork_MPL	r2	0.3	0.3	d6	5000	99
InferNetwork_MPL	r2	0.3	0.3	d7	100	99
InferNetwork_MPL	r2	0.3	0.3	d7	500	100
InferNetwork_MPL	r2	0.3	0.3	d7	1000	100
InferNetwork_MPL	r2	0.3	0.3	d7	5000	100
InferNetwork_MPL	r2	0.3	0.3	d8	100	100
InferNetwork_MPL	r2	0.3	0.3	d8	500	100
InferNetwork_MPL	r2	0.3	0.3	d8	1000	100
InferNetwork_MPL	r2	0.3	0.3	d8	5000	100
InferNetwork_MPL	r2	0.3	0.3	d9	100	100
InferNetwork_MPL	r2	0.3	0.3	d9	500	100
InferNetwork_MPL	r2	0.3	0.3	d9	1000	100
InferNetwork_MPL	r2	0.3	0.3	d9	5000	100
InferNetwork_MPL	r3	0	0	d1	100	73
InferNetwork_MPL	r3	0	0	d1	500	81
InferNetwork_MPL	r3	0	0	d1	1000	84
InferNetwork_MPL	r3	0	0	d1	5000	85
InferNetwork_MPL	r3	0	0	d2	100	72
InferNetwork_MPL	r3	0	0	d2	500	81
InferNetwork_MPL	r3	0	0	d2	1000	76
InferNetwork_MPL	r3	0	0	d2	5000	82
InferNetwork_MPL	r3	0	0	d3	100	76
InferNetwork_MPL	r3	0	0	d3	500	89
InferNetwork_MPL	r3	0	0	d3	1000	92
InferNetwork_MPL	r3	0	0	d3	5000	86
InferNetwork_MPL	r3	0	0	d4	100	74
InferNetwork_MPL	r3	0	0	d4	500	84
InferNetwork_MPL	r3	0	0	d4	1000	82
InferNetwork_MPL	r3	0	0	d4	5000	85
InferNetwork_MPL	r3	0	0	d5	100	66
InferNetwork_MPL	r3	0	0	d5	500	74
InferNetwork_MPL	r3	0	0	d5	1000	80
InferNetwork_MPL	r3	0	0	d5	5000	76
InferNetwork_MPL	r3	0	0	d6	100	79
InferNetwork_MPL	r3	0	0	d6	500	89
InferNetwork_MPL	r3	0	0	d6	1000	89
InferNetwork_MPL	r3	0	0	d6	5000	88
InferNetwork_MPL	r3	0	0	d7	100	81
InferNetwork_MPL	r3	0	0	d7	500	94
InferNetwork_MPL	r3	0	0	d7	1000	92
InferNetwork_MPL	r3	0	0	d7	5000	95
InferNetwork_MPL	r3	0	0	d8	100	73
