Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	99	89	96
d1	500	0.9	100	99	99
d1	1000	1.1	100	100	100
d1	5000	1.3	100	100	100
d2	100	1.7	100	62	87
d2	500	1.9	100	79	99
d2	1000	2.1	99	94	100
d2	5000	2.3	100	100	100
d3	100	2.7	98	86	90
d3	500	2.9	100	100	100
d3	1000	3.1	100	100	100
d3	5000	3.3	100	100	100
d4	100	3.7	99	76	83
d4	500	3.9	100	95	95
d4	1000	4.1	100	100	100
d4	5000	4.3	100	100	100
d5	100	4.7	99	77	80
d5	500	4.9	100	98	98
d5	1000	5.1	98	96	96
d5	5000	5.3	99	99	99
d6	100	5.7	100	59	88
d6	500	5.9	100	97	98
d6	1000	6.1	100	99	100
d6	5000	6.3	100	100	100
d7	100	6.7	98	81	88
d7	500	6.9	100	100	100
d7	1000	7.1	100	100	100
d7	5000	7.3	100	100	100
d8	100	7.7	100	66	67
d8	500	7.9	100	96	96
d8	1000	8.1	100	100	100
d8	5000	8.3	100	99	99
d9	100	8.7	100	49	77
d9	500	8.9	100	75	100
d9	1000	9.1	100	79	100
d9	5000	9.3	100	98	100
