Method	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
SNaQ	100	0.9	100	60	86
SNaQ	500	1.9	100	98	99
SNaQ	1000	2.9	100	100	100
SNaQ	5000	3.9	100	100	100
InferNetwork_MPL	100	1.1	77	99	100
InferNetwork_MPL	500	2.1	92	100	100
InferNetwork_MPL	1000	3.1	89	100	100
InferNetwork_MPL	5000	4.1	92	100	100
