Method	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
SNaQ	100	0.9	100	94	95
SNaQ	500	1.9	100	100	100
SNaQ	1000	2.9	100	100	100
SNaQ	5000	3.9	100	100	100
InferNetwork_MPL	100	1.1	70	76	92
InferNetwork_MPL	500	2.1	87	89	98
InferNetwork_MPL	1000	3.1	89	92	100
InferNetwork_MPL	5000	4.1	62	86	98
