Diamond	nTrees	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	100	0	-4519.05312051079	-4405.596920334753	-4405.532952292425	1	0	1	0.44741350163358384
d1	100	1	-4279.598414716977	-4082.5063849748713	-4082.556190372347	1	0	1	0.46226256363779056
d1	100	2	-4405.676141624086	-4247.198615457288	-4247.226055908781	1	0	1	0.44255267140989885
d1	100	3	-4414.927257462355	-4224.540946457466	-4213.02484152754	2	0	1	0.40660125036368716
d1	100	4	-4374.919622100895	-4154.850195014751	-4154.909370677942	1	0	1	0.47193765532967813
d1	100	5	-4396.350592550857	-4270.338132933777	-4270.357054454728	1	0	1	0.4819080217554635
d1	100	6	-4393.879583235379	-4118.435059227668	-4118.416974436378	1	0	1	0.4726211897595475
d1	100	7	-4285.493861754251	-4091.722856044103	-4091.720909596455	1	0	1	0.47266335419224703
d1	100	8	-4424.95045186854	-4264.802283041809	-4242.62202330282	2	0	1	0.4624733231501269
d1	100	9	-4384.117191210274	-4182.810098967078	-4182.797368740248	1	0	1	0.48120241362837024
d1	100	10	-4461.001776524003	-4246.046686468087	-4222.450530445426	2	0	1	0.494
d1	100	11	-4425.077501301971	-4191.159393936984	-4183.09748553875	2	0	1	0.4597627229958888
d1	100	12	-4438.073479441767	-4235.142540064143	-4235.142399530565	1	0	1	0.4730664757436346
d1	100	13	-4337.585136643183	-4172.089920955948	-4172.09023202742	1	0	1	0.4742931551879189
d1	100	14	-4462.222012212085	-4299.181479933796	-4289.09860590577	2	0	1	0.4474388309106369
d1	100	15	-4375.076223495995	-4188.581364427522	-4188.596362520503	1	0	1	0.4670593579592811
d1	100	16	-4201.9721261315035	-3937.372885825927	-3935.290513042359	2	0	1	0.4775439842743955
d1	100	17	-4526.1572494901975	-4434.0812613964	-4434.141618634055	1	0	1	0.39676548858329086
d1	100	18	-4421.270508360797	-4247.2464399336695	-4247.206604693622	1	0	1	0.494
d1	100	19	-4358.11112009635	-4150.983968934172	-4150.967178169667	1	0	1	0.4414586261360023
d1	100	20	-4292.683770847864	-4041.0613614081067	-4041.089183549552	1	0	1	0.4256501475374135
d1	100	21	-4431.52602495225	-4182.760076201062	-4182.60802543808	1	0	1	0.4895371196778282
d1	100	22	-4309.7250693185715	-4086.2709403736562	-4086.2767866766985	1	0	1	0.4860493616681571
d1	100	23	-4354.562479842609	-4127.03033088733	-4127.219403608906	1	0	1	0.43056480594286095
d1	100	24	-4325.763184263123	-4124.455099612419	-4116.651644004097	2	2	1	NA
d1	100	25	-4438.433254441494	-4285.590052946207	-4270.6697675118685	2	0	1	0.494
d1	100	26	-4117.0216757345	-3991.517396226464	-3991.497880865116	1	0	1	0.27867201370889577
d1	100	27	-4272.287280414536	-4110.107508355128	-4110.116498359259	1	0	1	0.4693658676930324
d1	100	28	-4385.963098732945	-4229.157085992008	-4226.052985159453	2	0	1	0.45231336184512855
d1	100	29	-4138.753373884462	-3788.5658313209183	-3787.430015466899	1	0	1	0.46218514099808106
d1	100	30	-4323.202964072714	-4011.6373204162037	-4011.645153850079	1	0	1	0.4618295808183872
d1	100	31	-4523.266954000058	-4342.8239158709985	-4330.097894197469	2	0	1	0.40858878423701095
d1	100	32	-4434.183508060887	-4214.926399151308	-4215.039476264821	1	0	1	0.4755769846095553
d1	100	33	-4500.269542620694	-4269.623174640746	-4269.620803776622	1	0	1	0.4401776004239446
d1	100	34	-4330.118571614162	-4121.70661629473	-4121.705962039329	1	0	1	0.4413362840860477
d1	100	35	-4169.870063044467	-4086.1969556482877	-4040.6598041176658	2	0	1	0.3831758803302462
d1	100	36	-4268.812866306336	-4062.128065869974	-4054.383207715109	2	0	1	0.4550266895525353
d1	100	37	-4385.81782857459	-4275.043542996575	-4275.049369350193	1	0	1	0.4442385281637264
d1	100	38	-4284.206076903427	-4107.011382286365	-4092.6789108528405	2	0	1	0.44828592090076463
d1	100	39	-4070.8129935576385	-3818.5877017756516	-3818.625166501601	1	0	1	0.3650171253371246
d1	100	40	-4458.476354476065	-4329.598647047035	-4329.615357527146	1	0	1	0.41319528025533253
d1	100	41	-4217.59305693185	-3992.063942590024	-3992.126240876618	1	0	1	0.494
d1	100	42	-4359.182494567141	-4196.081444113382	-4191.650500440747	2	0	1	0.39915620764555604
d1	100	43	-4285.993777021528	-4106.347575646523	-4106.347335635672	1	0	1	0.36194826815275044
d1	100	44	-4336.390275881534	-4130.175885956921	-4125.762486284587	2	0	1	0.4667856382540595
d1	100	45	-4424.008942109953	-4224.868897827547	-4218.661589703977	2	0	1	0.4761645438956318
d1	100	46	-4430.666087984569	-4260.115329960759	-4260.071651320083	1	0	1	0.4473950604550718
d1	100	47	-4311.150072492654	-4144.4141902652855	-4144.397663156353	1	0	1	0.46424173660851287
d1	100	48	-4475.826316901616	-4274.761960821289	-4265.334362050864	2	2	1	NA
d1	100	49	-4496.466747728044	-4268.811780890627	-4259.864059717956	2	0	1	0.4726523492133439
d1	100	50	-4398.281072966397	-4200.991505321426	-4200.986823299361	1	0	1	0.4325981141116475
d1	100	51	-4509.747035039051	-4350.92336069446	-4348.069625135308	2	0	1	0.494
d1	100	52	-4471.943061933863	-4308.251061993767	-4308.14062638104	1	0	1	0.464497787330155
d1	100	53	-4280.835977597463	-4035.7374366266467	-4035.7431280382075	1	0	1	0.4503684978708456
d1	100	54	-4405.171213759707	-4238.134702740922	-4220.926749426469	2	0	1	0.3660420768140035
d1	100	55	-4470.278331419849	-4193.7642383958855	-4192.556342973709	1	2	1	NA
d1	100	56	-4324.523556252178	-4023.2795136891395	-4001.5270128868106	2	0	1	0.4856937242303162
d1	100	57	-4398.285210062694	-4190.169614547985	-4190.173107397903	1	0	1	0.4791676264566532
d1	100	58	-4335.202138096712	-4091.022255199424	-4076.346705738926	2	0	1	0.38457339062267004
d1	100	59	-4577.054211957779	-4449.414034955978	-4449.43686170964	1	0	1	0.49053829810308586
d1	100	60	-4423.814700093293	-4274.02344039453	-4274.006983732889	1	0	1	0.47682891187369386
d1	100	61	-4331.027609794978	-4111.255733569633	-4111.249611730628	1	0	1	0.4355161856057391
d1	100	62	-4213.333618690703	-4014.970595519327	-4014.9722567079566	1	0	1	0.46038605748933104
d1	100	63	-4482.451601537603	-4261.211851081929	-4256.559763274308	2	0	1	0.4484880110134609
d1	100	64	-4509.586137267292	-4402.247727574703	-4378.591691408739	2	0	1	0.446897617624345
d1	100	65	-4194.408716895663	-3925.322535953616	-3925.346722121047	1	0	1	0.494
d1	100	66	-4375.318173224635	-4244.170427932598	-4244.148102267221	1	0	1	0.377322903977543
d1	100	67	-4260.629686833489	-4149.6140014251105	-4124.013550746272	2	0	1	0.4537876385637991
d1	100	68	-4359.455866879396	-4171.8922691511125	-4148.31784460049	2	0	1	0.46036808880108554
d1	100	69	-4377.829039765576	-4335.054982876381	-4275.250691960715	2	4	1	NA
d1	100	70	-4302.845808950597	-4003.1701449224174	-4003.1681927828404	1	0	1	0.445615805223671
d1	100	71	-4390.314395181877	-4166.536907765587	-4166.193074542389	1	0	1	0.38431978662991845
d1	100	72	-4285.044890884559	-4143.673706519091	-4143.686331922812	1	0	1	0.3707600767408613
d1	100	73	-4301.254598630373	-4118.7226769217505	-4118.76122787664	1	0	1	0.4223546041025992
d1	100	74	-4404.677565232121	-4232.301200568408	-4232.321987253106	1	0	1	0.3601359542354503
d1	100	75	-4339.233486423308	-4103.223831258156	-4090.6724517670705	2	0	1	0.4634418996512464
d1	100	76	-4577.270091899393	-4437.034971661715	-4419.347238839194	2	0	1	0.42803496844450023
d1	100	77	-4324.432015666362	-4212.398712799604	-4211.028882526606	1	0	1	0.4514918071764289
d1	100	78	-4405.639315674152	-4200.5693740917895	-4200.601001010758	1	0	1	0.4728332405255513
d1	100	79	-4366.485580331737	-4113.3387826171875	-4107.9702218770735	2	0	1	0.4099078529286537
d1	100	80	-4395.70614412102	-4261.015699346524	-4260.196937451276	1	0	1	0.49213027206027776
d1	100	81	-4391.398519416669	-4241.892614453251	-4241.883793957311	1	0	1	0.44918285325390017
d1	100	82	-4332.609236270275	-4127.94905056084	-4127.961173545919	1	0	1	0.48404670764059854
d1	100	83	-4365.564608402862	-4127.852524771228	-4127.829122234547	1	0	1	0.4929770529571877
d1	100	84	-4474.030227607577	-4272.217287103552	-4272.227981113951	1	0	1	0.4697758709306208
d1	100	85	-4457.643675578359	-4222.866757104464	-4206.207250311334	2	0	1	0.492021167912959
d1	100	86	-4365.9464305587035	-4206.711878936007	-4205.287639140719	1	0	1	0.48526545684774813
d1	100	87	-4168.678393906104	-3880.6247335020134	-3880.654957396613	1	0	1	0.39635971284976895
d1	100	88	-4360.51597569346	-4086.5758503989637	-4086.5690861614635	1	0	1	0.4199360542418984
d1	100	89	-4377.086815701151	-4189.163510698472	-4189.167172477111	1	0	1	0.3982365227865764
d1	100	90	-4385.353678075718	-4135.644790032084	-4135.649882754292	1	0	1	0.48255135167906626
d1	100	91	-4217.737815472423	-4032.7358348629823	-4033.09328019712	1	0	1	0.4926335320535771
d1	100	92	-4548.652296823606	-4424.996006623064	-4394.68060665891	2	0	1	0.38663952375107236
d1	100	93	-4426.005272495223	-4276.018253186977	-4276.030335878759	1	0	1	0.4443501329640187
d1	100	94	-4435.5981303996905	-4197.346742729417	-4197.388403218158	1	0	1	0.470084524589937
d1	100	95	-4332.612720468666	-4143.127509580416	-4143.128877252571	1	0	1	0.48376434954807723
d1	100	96	-4438.313764191558	-4234.419245866522	-4234.422006158703	1	0	1	0.47279013931239133
d1	100	97	-4327.065752534512	-4112.56376374284	-4104.217521904204	2	0	1	0.494
d1	100	98	-4305.480124279794	-4035.9773451096053	-4011.846077343566	2	0	1	0.48217238834013465
d1	100	99	-4421.648837219241	-4261.270000231896	-4261.290890104434	1	0	1	0.40838749657577844
d1	500	0	-21855.334553878838	-20845.343974568037	-20845.121487240594	1	0	1	0.48520548175665
d1	500	1	-21591.840559091692	-20507.88256360809	-20507.806763128974	1	0	1	0.494
d1	500	2	-21756.039046746177	-20609.946244832492	-20609.951862413083	1	0	1	0.47895577336922757
d1	500	3	-21740.711374930223	-20604.245090949535	-20604.216471050502	1	0	1	0.46722128975112887
d1	500	4	-21950.954099342485	-21011.72862115332	-21011.907760803428	1	0	1	0.49278246703173834
d1	500	5	-21673.33968095013	-20669.37278519182	-20668.04172985896	1	0	1	0.4901927057955785
d1	500	6	-22053.791836044096	-21292.029958518113	-21291.970722542694	1	0	1	0.45668228244793035
d1	500	7	-21822.921394599434	-20839.68922646648	-20839.71152299905	1	0	1	0.4780120826798636
