Diamond	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
d1	100	0.7	79	99	100
d1	500	0.9	95	100	100
d1	1000	1.1	95	100	100
d1	5000	1.3	90	100	100
d2	100	1.7	88	98	100
d2	500	1.9	92	99	100
d2	1000	2.1	95	99	100
d2	5000	2.3	92	100	100
d3	100	2.7	80	100	100
d3	500	2.9	95	100	100
d3	1000	3.1	95	100	100
d3	5000	3.3	85	100	100
d4	100	3.7	74	100	100
d4	500	3.9	94	100	100
d4	1000	4.1	90	100	100
d4	5000	4.3	87	100	100
d5	100	4.7	85	100	100
d5	500	4.9	95	100	100
d5	1000	5.1	95	100	100
d5	5000	5.3	91	100	100
d6	100	5.7	77	99	100
d6	500	5.9	92	100	100
d6	1000	6.1	89	100	100
d6	5000	6.3	92	100	100
d7	100	6.7	73	100	100
d7	500	6.9	80	100	100
d7	1000	7.1	74	100	100
d7	5000	7.3	83	100	100
d8	100	7.7	81	100	100
d8	500	7.9	96	100	100
d8	1000	8.1	93	100	100
d8	5000	8.3	87	100	100
d9	100	8.7	86	100	100
d9	500	8.9	90	100	100
d9	1000	9.1	87	100	100
d9	5000	9.3	94	100	100
