Method	nTrees	xPos	FoundOneEdge	CorrectNetwork	HasHybridEdge
SNaQ	100	0.9	100	85	98
SNaQ	500	1.9	100	100	100
SNaQ	1000	2.9	100	100	100
SNaQ	5000	3.9	100	100	100
InferNetwork_MPL	100	1.1	76	96	100
InferNetwork_MPL	500	2.1	94	100	100
InferNetwork_MPL	1000	3.1	95	100	100
InferNetwork_MPL	5000	4.1	91	98	100
