Diamond	phi	nTrees	SeqLength	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d1	phi3	1000	1000	3	19.44052035381346	3.06014262740945	3.0600512630818706	1	0	1	0.15078529952884182
d1	phi3	1000	1000	4	20.69630452159963	2.424558138697558	2.424486352589431	1	0	1	0.1096281569003722
d1	phi3	1000	1000	5	13.07983250091811	2.2835887734227276	2.2824399726945326	1	2	0	None
d1	phi3	1000	1000	6	18.7848683116144	3.086696767063839	3.08526597894921	1	2	0	None
d1	phi3	1000	1000	7	11.755015696889071	1.0818815144306524	1.0811370762908892	1	0	1	0.02695781608758027
d1	phi3	1000	1000	8	12.232031291710577	3.1594037177744165	3.1594033583195555	1	0	1	0.03341507578324448
d1	phi3	1000	1000	9	13.069475763133141	2.635421082344302	2.436822794482463	1	0	1	0.032409618277104646
d1	phi3	1000	1000	10	21.565911596639086	2.1925847287966502	2.1925356986005453	1	0	1	0.04723364077229849
d1	phi3	1000	1000	11	16.62145755827103	2.470087705145888	2.468819636406388	1	0	1	0.14140235080761493
d1	phi3	1000	1000	12	20.83494009096499	1.9941303415660854	1.9871315853029954	1	0	1	0.13013437626302884
d1	phi3	1000	1000	13	15.00973956548945	2.0644433773642192	2.059528734622619	1	0	1	0.1749912785622615
d1	phi3	1000	1000	14	17.591223181349736	3.5716554536017644	3.5716549677550367	1	0	1	0.05183764760765557
d1	phi3	1000	1000	15	19.211942826616408	3.342077365819019	3.3420404710750313	1	0	1	0.052700299457325996
d1	phi3	1000	1000	16	25.51891179144074	1.3355002090576888	1.3354816817230124	1	0	1	0.05848438434094508
d1	phi3	1000	1000	17	10.425896604943693	2.6633789848654987	2.6459706781489114	1	0	1	0.015039566469803891
d1	phi3	1000	1000	18	14.985723598511935	2.674986409367229	2.6749863793324664	1	0	1	0.025413784499668603
d1	phi3	1000	1000	19	23.605538481532363	4.29173008586852	4.291555427688633	1	0	1	0.06523031850257364
d1	phi3	4000	1000	0	16.556944030614833	0.7260158588070198	0.726015678047656	1	0	1	0.05308977616920324
d1	phi3	4000	1000	1	13.193122982849866	0.5942677642135348	0.5942632963855061	1	0	1	0.044119353153384624
d1	phi3	4000	1000	2	17.7493141644235	1.049918743112746	1.049918459141753	1	0	1	0.04852950268027987
d1	phi3	4000	1000	3	12.254467311092936	0.4451202062073301	0.44511739055040167	1	0	1	0.03860399029243494
d1	phi3	4000	1000	4	16.472295824570832	0.4038077293719883	0.4038072523287925	1	0	1	0.06254178504476082
d1	phi3	4000	1000	5	11.56955123063	0.3915075161322402	0.3693817915216928	1	0	1	0.03727575091781114
d1	phi3	4000	1000	6	15.734515610197471	0.9620099215040904	0.9620065785184524	1	0	1	0.05302518424186309
d1	phi3	4000	1000	7	13.298583233271062	0.6371705080306127	0.6364739786849534	1	0	1	0.03309477960393483
d1	phi3	4000	1000	8	14.946210476583927	0.2999929467335654	0.29999178755751676	1	0	1	0.0624550027015086
d1	phi3	4000	1000	9	14.898589103588508	1.0957864674172628	0.42757406948625865	1	0	1	0.033625444758730375
d1	phi3	4000	1000	10	13.127844551428216	0.593821430916939	0.5937154252642681	1	0	1	0.06712400598860442
d1	phi3	4000	1000	11	13.110770903941697	0.5059676062096052	0.5059457190523474	1	0	1	0.046792432014223645
d1	phi3	4000	1000	12	13.62400181677504	0.6554082415542678	0.6551853284939223	1	0	1	0.04149774773939735
d1	phi3	4000	1000	13	18.97734946465249	0.8409113245385654	0.8409104987156644	1	0	1	0.061062725392527925
d1	phi3	4000	1000	14	13.000069101821405	0.8624466605929009	0.6647973914821711	1	0	1	0.19526234222968225
d1	phi3	4000	1000	15	15.057533641263896	0.716875551108242	0.71585101177477	1	0	1	0.050184453974887924
d1	phi3	4000	1000	16	15.403821385114266	0.9188574942979638	0.9186268119031146	1	0	1	0.04577443626814918
d1	phi3	4000	1000	17	15.054167868309861	0.2164187708912675	0.21606151823593517	1	0	1	0.04622507697397343
d1	phi3	4000	1000	18	15.208609157800018	0.9093111335406037	0.751089217751743	1	0	1	0.17561845058925074
d1	phi3	4000	1000	19	14.197816104271093	0.6094875979657025	0.6094595142058998	1	0	1	0.043347579030613544
d2	phi1	250	1000	0	78.85680515129954	3.0370359011455648	3.0370359010509747	1	0	1	0.4890871294381045
d2	phi1	250	1000	1	73.4206536007348	1.9319479551835248	1.931947955179629	1	0	1	0.4063711015338247
